env_material,variable,mean,sd,n,se
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Eremococcus,0.294117647058824,0.985184366143778,17,0.0579520215378693
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Facklamia,0,0,17,0
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Globicatella,0,0,17,0
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__Ignavigranum,0,0,17,0
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__uncultured,0.0588235294117647,0.242535625036333,17,0.0142668014727255
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Aerococcaceae;D_5__uncultured bacterium,0,0,17,0
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Carnobacteriaceae;D_5__Alkalibacterium,0.0588235294117647,0.242535625036333,17,0.0142668014727255
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Carnobacteriaceae;D_5__Allofustis,0,0,17,0
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Carnobacteriaceae;D_5__Alloiococcus,0.176470588235294,0.528594139870924,17,0.0310937729335838
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Carnobacteriaceae;D_5__Atopobacter,0,0,17,0
animal habitation,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Carnobacteriaceae;D_5__Atopococcus,0.588235294117647,1.1213175023946,17,0.0659598530820355
